start_date,total_sessions,total_duration_minutes,avg_duration_minutes,completed_sessions,material_types,total_jobs,success_rate,utilization_hours
2023-08-04,2,10.83,5.42,2,1,2,100.0,0.2
2023-08-05,1,5.25,5.25,1,1,0,100.0,0.1
2023-08-07,1,4.92,4.92,1,1,1,100.0,0.1
2023-08-08,2,9.3,4.65,2,1,2,100.0,0.2
2023-08-10,6,31.57,5.26,6,1,2,100.0,0.5
2023-08-12,3,14.3,4.77,3,1,3,100.0,0.2
2023-08-14,5,24.75,4.95,5,1,2,100.0,0.4
2023-08-17,1,4.62,4.62,1,1,1,100.0,0.1
2023-08-18,2,11.0,5.5,2,1,2,100.0,0.2
2023-08-22,8,39.22,4.9,8,1,5,100.0,0.7
2023-08-24,2,9.4,4.7,2,1,2,100.0,0.2
2023-08-25,2,10.83,5.42,2,1,2,100.0,0.2
2023-08-26,3,784.88,261.63,3,1,3,100.0,13.1
2023-08-27,1,4.4,4.4,1,1,1,100.0,0.1
2023-08-29,5,27.95,5.59,5,1,3,100.0,0.5
2023-08-31,2,9.53,4.77,2,1,2,100.0,0.2
2023-09-01,2,9.25,4.62,2,1,1,100.0,0.2
2023-09-04,3,13.95,4.65,3,1,3,100.0,0.2
2023-09-05,2,9.88,4.94,2,1,2,100.0,0.2
2023-09-07,4,20.87,5.22,4,1,3,100.0,0.3
2023-09-08,5,19.87,3.97,5,1,4,100.0,0.3
2023-09-09,1,4.92,4.92,1,1,1,100.0,0.1
2023-09-11,6,33.85,5.64,6,1,6,100.0,0.6
2023-09-12,8,61.8,7.72,8,1,7,100.0,1.0
2023-09-13,5,27.32,5.46,5,1,5,100.0,0.5
2023-09-14,4,19.93,4.98,4,1,4,100.0,0.3
2023-09-15,4,20.75,5.19,4,1,3,100.0,0.3
2023-09-16,8,82.6,10.32,8,1,6,100.0,1.4
2023-09-18,5,24.47,4.89,5,1,5,100.0,0.4
2023-09-19,6,78.9,13.15,6,1,6,100.0,1.3
2023-09-20,1,5.35,5.35,1,1,0,100.0,0.1
2023-09-21,3,14.0,4.67,3,1,3,100.0,0.2
2023-09-22,7,33.47,4.78,7,1,7,100.0,0.6
2023-09-23,1,4.82,4.82,1,1,1,100.0,0.1
2023-09-25,5,22.95,4.59,5,1,5,100.0,0.4
2023-09-26,9,49.15,5.46,9,1,9,100.0,0.8
2023-09-27,3,14.45,4.82,3,1,3,100.0,0.2
2023-09-28,10,46.25,4.62,10,1,7,100.0,0.8
2023-09-29,7,33.78,4.83,7,1,5,100.0,0.6
2023-09-30,2,8.47,4.23,2,1,2,100.0,0.1
2023-10-02,9,71.62,7.96,9,1,9,100.0,1.2
2023-10-03,1,4.57,4.57,1,1,1,100.0,0.1
2023-10-04,4,29.57,7.39,4,1,2,100.0,0.5
2023-10-05,6,71.22,11.87,6,1,2,100.0,1.2
2023-10-06,1,4.8,4.8,1,1,1,100.0,0.1
2023-10-09,12,59.78,4.98,12,1,11,100.0,1.0
2023-10-10,7,54.3,7.76,7,1,7,100.0,0.9
2023-10-11,2,4.73,2.37,2,1,0,100.0,0.1
2023-10-12,5,72.4,14.48,5,1,5,100.0,1.2
2023-10-13,7,35.45,5.06,7,1,1,100.0,0.6
2023-10-14,1,5.53,5.53,1,1,1,100.0,0.1
2023-10-16,7,66.92,9.56,7,1,4,100.0,1.1
2023-10-17,2,5.17,2.58,2,1,0,100.0,0.1
2023-10-18,6,32.05,5.34,6,1,5,100.0,0.5
2023-10-19,5,26.27,5.25,5,1,0,100.0,0.4
2023-10-20,1,4.07,4.07,1,1,0,100.0,0.1
2023-10-21,2,11.28,5.64,2,1,2,100.0,0.2
2023-10-23,4,16.25,4.06,4,1,4,100.0,0.3
2023-10-24,4,19.35,4.84,4,1,4,100.0,0.3
2023-10-25,8,36.77,4.6,8,1,7,100.0,0.6
2023-10-26,9,54.77,6.09,9,1,5,100.0,0.9
2023-10-27,6,21.8,3.63,6,1,5,100.0,0.4
2023-10-28,1,6.15,6.15,1,1,1,100.0,0.1
2023-10-30,3,11.07,3.69,3,1,3,100.0,0.2
2023-10-31,2,9.0,4.5,2,1,2,100.0,0.2
2023-11-01,1,4.5,4.5,1,1,1,100.0,0.1
2023-11-02,5,26.45,5.29,5,1,5,100.0,0.4
2023-11-03,2,10.67,5.33,2,1,2,100.0,0.2
2023-11-04,2,22.33,11.17,2,1,2,100.0,0.4
2023-11-06,4,20.55,5.14,4,1,4,100.0,0.3
2023-11-07,4,19.68,4.92,4,1,4,100.0,0.3
2023-11-09,2,9.02,4.51,2,1,2,100.0,0.2
2023-11-10,3,13.48,4.49,3,1,3,100.0,0.2
2023-11-11,1,5.53,5.53,1,1,1,100.0,0.1
